No,"Mac Address",Address,"To Address",Type,Bypassed,Disabled
1,44:CB:8B:DA:1C:10,10.111.32.87,10.111.32.87,bypassed,true,false
2,44:CB:8B:DA:55:78,10.111.47.135,10.111.47.135,bypassed,true,false
3,44:CB:8B:E4:A4:42,10.111.62.109,10.111.62.109,bypassed,true,false
4,40:2F:86:03:39:DA,10.111.62.66,10.111.62.66,bypassed,true,false
5,44:CB:8B:E6:AF:08,10.111.61.157,10.111.61.157,bypassed,true,false
6,44:CB:8B:DA:55:CC,10.111.57.209,10.111.57.209,bypassed,true,false
7,44:CB:8B:DA:1A:BA,10.111.41.250,10.111.41.250,bypassed,true,false
8,44:CB:8B:DA:13:F2,10.111.34.66,10.111.34.66,bypassed,true,false
9,4C:BA:D7:B9:65:8E,10.111.33.142,10.111.33.142,bypassed,true,false
10,44:CB:8B:8E:FD:44,10.111.54.86,10.111.54.86,bypassed,true,false
11,44:CB:8B:DA:38:C6,10.111.55.58,10.111.55.58,bypassed,true,false
12,44:CB:8B:DA:38:D2,10.111.43.79,10.111.43.79,bypassed,true,false
13,44:CB:8B:DA:1C:30,10.111.54.80,10.111.54.80,bypassed,true,false
14,44:CB:8B:DA:1C:42,10.111.61.149,10.111.61.149,bypassed,true,false
15,44:CB:8B:DA:55:B6,10.111.61.48,10.111.61.48,bypassed,true,false
16,44:CB:8B:E6:AE:D8,10.111.62.159,10.111.62.159,bypassed,true,false
17,44:CB:8B:DA:38:EA,10.111.61.42,10.111.61.42,bypassed,true,false
18,44:CB:8B:DA:14:06,10.111.61.32,10.111.61.32,bypassed,true,false
19,44:CB:8B:8E:F7:3A,10.111.61.28,10.111.61.28,bypassed,true,false
20,44:CB:8B:F2:3D:3C,10.111.60.241,10.111.60.241,bypassed,true,false
21,44:CB:8B:E4:A4:14,10.111.60.111,10.111.60.111,bypassed,true,false
22,44:CB:8B:DA:1C:40,10.111.60.104,10.111.60.104,bypassed,true,false
23,44:CB:8B:DA:1A:D6,10.111.59.79,10.111.59.79,bypassed,true,false
24,44:CB:8B:8E:F9:04,10.111.58.245,10.111.58.245,bypassed,true,false
25,44:CB:8B:DA:3C:FA,10.111.58.114,10.111.58.114,bypassed,true,false
26,44:CB:8B:DA:1A:B8,10.111.58.49,10.111.58.49,bypassed,true,false
27,44:CB:8B:DA:55:5C,10.111.57.253,10.111.57.253,bypassed,true,false
28,44:CB:8B:8E:F7:22,10.111.57.125,10.111.57.125,bypassed,true,false
29,44:CB:8B:DA:1C:F6,10.111.55.236,10.111.55.236,bypassed,true,false
30,44:CB:8B:DA:20:08,10.111.55.24,10.111.55.24,bypassed,true,false
31,44:CB:8B:8E:F8:DC,10.111.49.245,10.111.49.245,bypassed,true,false
32,44:CB:8B:DA:38:CA,10.111.49.78,10.111.49.78,bypassed,true,false
