No,Server,User,Address,"Mac Address","Login by",Uptime,"Session Time Left","Idle Time","Bytes In","Bytes Out","Packets In","Packets Out"
1,mamaka_kuta_social_club,loRDlCIpXp,10.111.59.12,5A:97:FA:B7:AC:2F,http-chap,25m40s,2d23h34m20s,18s,9840185,96886063,43922,86931
2,mamaka_kuta_social_club,tNwQXnXKy6,10.111.58.18,62:53:63:0B:00:22,http-chap,55m58s,2d23h4m2s,0s,42168482,2275009838,477046,1543117
3,mamaka_kuta_social_club,NxunahFWbk,10.111.59.21,92:5A:02:8E:ED:47,http-chap,2h5m52s,2d21h54m8s,0s,212688800,159708895,294766,212108
4,mamaka_kuta_social_club,lpElOQtP49,10.111.48.24,66:04:BB:21:84:4C,http-chap,17h4m57s,2d6h55m3s,17s,271288619,4894730415,2628215,3703939
5,mamaka_kuta_social_club,lpElOQtP49,10.111.48.32,5A:C4:3B:19:B6:D5,http-chap,2h48m46s,2d21h11m14s,1m17s,28131334,124621085,247813,244456
6,mamaka_kuta_social_club,kIH4LVzdZI,10.111.57.32,58:20:59:A7:6A:8E,http-chap,5h39m13s,2d18h20m47s,0s,14001608,244289543,87313,202153
7,mamaka_kuta_social_club,rSTHvBAMI9,10.111.55.33,2E:9D:F2:57:C8:E5,http-chap,11h21m39s,2d12h38m21s,1m19s,82525756,2824967157,1111064,1985133
8,mamaka_kuta_social_club,6Njoue5fS2,10.111.58.35,F4:7B:09:E0:B4:1F,http-chap,5h13m53s,2d18h46m7s,0s,97212448,472990822,389042,494116
9,mamaka_kuta_social_club,1qWgwlfQve,10.111.59.37,B0:35:9F:90:D4:DB,http-chap,2h4m9s,2d21h55m51s,1s,28482626,123635987,121534,142058
10,mamaka_kuta_social_club,CPF8NRhkKI,10.111.59.42,6E:FE:FA:98:B6:56,http-chap,1h34m36s,2d22h25m24s,4s,35002229,559200697,382164,431961
11,mamaka_kuta_social_club,V6FNyw5B8z,10.111.40.43,E2:87:12:47:AC:2A,http-chap,5h6m40s,2d18h53m20s,0s,53370456,120059064,114036,115400
12,mamaka_kuta_social_club,NgZ1sFnnkA,10.111.59.49,06:2E:67:78:96:0F,http-chap,10m29s,2d23h49m31s,15s,2237357,20858854,17188,17581
13,mamaka_kuta_social_club,6Njoue5fS2,10.111.58.55,F2:E0:03:58:E7:7B,http-chap,5h13m38s,2d18h46m22s,0s,35471021,447647918,213357,355806
14,mamaka_kuta_social_club,hUZGabnuJE,10.111.59.63,3A:98:DD:3B:EF:3C,http-chap,6m56s,2d23h53m4s,8s,2184529,22108152,15355,19261
15,mamaka_kuta_social_club,sFKEdOJDjM,10.111.55.64,52:BB:D9:F7:D4:00,http-chap,1h17m2s,2d22h42m58s,16s,8661243,53491067,33343,64717
16,mamaka_kuta_social_club,qqyPXnrl7d,10.111.58.64,52:DA:A4:91:06:BD,http-chap,5m32s,2d23h54m28s,0s,4715172,5773663,18766,18798
17,mamaka_kuta_social_club,66g1rPUFzV,10.111.57.72,CA:85:39:F5:D5:C2,http-chap,56m38s,2d23h3m22s,0s,12647149,247326478,114184,184285
18,mamaka_kuta_social_club,NUrsZiDmgA,10.111.58.73,42:1E:6D:A5:3A:34,http-chap,38m8s,2d23h21m52s,2s,7168919,312826826,68675,214777
19,mamaka_kuta_social_club,VjxF9xizng,10.111.32.76,F6:BB:61:BF:58:52,http-chap,1d3h1s,1d20h59m59s,1m34s,248338030,4632102955,2058755,3542297
20,mamaka_kuta_social_club,ynCGTLKoEi,10.111.59.76,B2:C6:C2:10:09:DF,http-chap,1h13m6s,2d22h46m54s,4m49s,790707,3660633,3770,4659
21,mamaka_kuta_social_club,Vo3pSPnNZP,10.111.59.80,D6:F1:DE:08:D5:FE,http-chap,4m21s,2d23h55m39s,6s,1576022,4453200,5122,5655
22,mamaka_kuta_social_club,omQdW24lUn,10.111.56.82,BA:F5:BD:04:48:B5,http-chap,7h26m16s,2d16h33m44s,6s,54441437,722376685,295108,658908
23,mamaka_kuta_social_club,qDIUmqvUBE,10.111.52.88,02:25:ED:A7:13:13,http-chap,3h47m2s,2d20h12m58s,0s,97956881,1871177959,742765,1405489
24,mamaka_kuta_social_club,Hzl9e5xOZv,10.111.59.88,3A:F1:59:CB:8B:53,http-chap,25m10s,2d23h34m50s,0s,2002379,21940739,18004,23358
25,mamaka_kuta_social_club,WgezSBL6Fb,10.111.59.96,52:9B:D5:32:D1:FE,http-chap,47m16s,2d23h12m44s,0s,12555998,69156041,65022,100401
26,mamaka_kuta_social_club,YGWcPFIoBY,10.111.57.97,4E:35:91:F0:DA:B3,http-chap,3h11m45s,2d20h48m15s,0s,28649313,145103261,80647,142569
27,mamaka_kuta_social_club,l2ogo6xzp9,10.111.58.97,9A:AC:E3:3A:12:66,http-chap,3m52s,2d23h56m8s,6s,387375,487394,1292,1539
28,mamaka_kuta_social_club,AWurcyZGWC,10.111.55.98,CE:49:6F:FE:C7:A8,http-chap,18m18s,2d23h41m42s,0s,26308532,618532916,439837,439224
29,mamaka_kuta_social_club,gIIj2PV1JC,10.111.57.99,86:E3:C0:29:70:56,http-chap,4h34m2s,2d19h25m58s,9s,8943318,39950194,37100,44818
30,mamaka_kuta_social_club,Hu0vGsUZpr,10.111.59.100,6E:94:FF:F8:EF:04,http-chap,42m47s,2d23h17m13s,4s,24144529,227668862,70716,179591
31,mamaka_kuta_social_club,dczp7YHiuB,10.111.59.102,BA:CF:9E:29:94:DD,http-chap,51m3s,2d23h8m57s,0s,29754443,504966076,77449,425273
32,mamaka_kuta_social_club,STPJKXQPoO,10.111.59.109,C6:07:91:35:C1:9F,http-chap,46m34s,2d23h13m26s,1m4s,2401023,41311625,14362,36568
33,mamaka_kuta_social_club,kIH4LVzdZI,10.111.48.112,B6:58:A6:B6:31:1C,http-chap,4h33m,2d19h27m,2m8s,11318892,349017613,92929,279660
34,mamaka_kuta_social_club,n8hjWLEPiu,10.111.59.113,5E:A3:FF:39:5E:66,http-chap,36m40s,2d23h23m20s,0s,13954831,392256088,76121,322834
35,mamaka_kuta_social_club,7GCvba2WsF,10.111.59.115,F6:B0:93:B5:F0:0B,http-chap,43m47s,2d23h16m13s,34s,20057457,182711672,95435,140629
36,mamaka_kuta_social_club,NaDAtuM2YS,10.111.59.117,FE:E8:90:F7:98:0F,http-chap,36m12s,2d23h23m48s,0s,14416515,328194132,104960,254716
37,mamaka_kuta_social_club,tC3kq6e6L6,10.111.59.119,BE:47:C0:88:12:21,http-chap,41m44s,2d23h18m16s,0s,10006690,158040658,46002,136720
38,mamaka_kuta_social_club,eB6jMmM1J6,10.111.59.121,86:BD:86:D3:34:4F,http-chap,40m44s,2d23h19m16s,6s,2840734,10041713,10527,12372
39,mamaka_kuta_social_club,CPF8NRhkKI,10.111.59.125,D6:28:9B:A5:C8:67,http-chap,39m47s,2d23h20m13s,6m39s,1774765,15673472,15286,15994
40,mamaka_kuta_social_club,NudAgItCFE,10.111.59.128,16:D7:71:4E:2A:6C,http-chap,30m50s,2d23h29m10s,0s,5881414,109115325,81726,88971
41,mamaka_kuta_social_club,yA7CVPzoQI,10.111.59.132,5A:0F:A7:A8:C6:72,http-chap,33m13s,2d23h26m47s,8s,2446485,18236063,9661,17089
42,mamaka_kuta_social_club,F7AbwZySzJ,10.111.59.134,1A:0E:F3:78:C2:AC,http-chap,31m47s,2d23h28m13s,0s,11668304,289827990,174412,228327
43,mamaka_kuta_social_club,koVyA4eu8B,10.111.55.136,3A:DB:B1:2D:FE:E7,http-chap,1h9m44s,2d22h50m16s,1m9s,12609948,192148773,29232,163183
44,mamaka_kuta_social_club,NIZNwxbtFA,10.111.59.143,6E:BE:0D:88:0A:6B,http-chap,18m46s,2d23h41m14s,9s,769830,11965794,6706,9185
45,mamaka_kuta_social_club,3hDNAHP04G,10.111.59.145,70:D8:23:6F:8F:33,http-chap,22m1s,2d23h37m59s,0s,5962336,31300138,27604,34520
46,mamaka_kuta_social_club,O3Cm5de741,10.111.58.147,C6:74:90:26:64:95,http-chap,57m18s,2d23h2m42s,1s,84047652,52228811,93145,63373
47,mamaka_kuta_social_club,jfI1VsZJlu,10.111.59.147,7A:0D:97:7B:9E:B7,http-chap,9m39s,2d23h50m21s,50s,2998571,52019324,21574,41873
48,mamaka_kuta_social_club,fhq7yv0ycW,10.111.34.148,CE:D4:74:C0:A0:81,http-chap,2h41m54s,2d21h18m6s,42s,15125996,247603295,165973,180305
49,mamaka_kuta_social_club,O3Cm5de741,10.111.58.148,AA:33:F8:D3:B1:7E,http-chap,53m56s,2d23h6m4s,1m2s,49018750,101940094,82041,95160
50,mamaka_kuta_social_club,IPpScoJ9aN,10.111.59.155,D6:F6:EB:52:59:EA,http-chap,14m50s,2d23h45m10s,10s,12121148,31266222,37767,45629
51,mamaka_kuta_social_club,Zgmq6zpNun,10.111.54.156,16:36:9A:F4:01:26,http-chap,8h49m30s,2d15h10m30s,22s,66720756,1808305472,387031,1472604
52,mamaka_kuta_social_club,O3Cm5de741,10.111.58.157,4E:D5:08:CE:28:07,http-chap,17m57s,2d23h42m3s,30s,12445388,199670151,140976,159103
53,mamaka_kuta_social_club,Zgmq6zpNun,10.111.54.158,2E:BA:31:69:98:72,http-chap,8h48m56s,2d15h11m4s,2s,43589250,815567636,261217,692211
54,mamaka_kuta_social_club,D5QHZ7QVCc,10.111.59.159,4E:1D:BC:7E:13:0C,http-chap,15m9s,2d23h44m51s,1s,28927705,197603085,128106,153970
55,mamaka_kuta_social_club,lp7uXvU0oK,10.111.59.163,66:34:D5:4F:16:F8,http-chap,11m32s,2d23h48m28s,2s,571120,1834140,2515,2943
56,mamaka_kuta_social_club,Hzl9e5xOZv,10.111.59.165,2E:EE:B4:F3:2C:37,http-chap,10m37s,2d23h49m23s,0s,29860284,39838930,41723,37771
57,mamaka_kuta_social_club,RcVRodZTXj,10.111.59.167,AE:B0:70:CD:98:39,http-chap,9m19s,2d23h50m41s,12s,14827515,877951186,160530,590996
58,mamaka_kuta_social_club,Hzl9e5xOZv,10.111.55.169,16:FA:3F:E0:66:98,http-chap,23h52m39s,2d7m21s,1m44s,32175402,305900186,197239,277334
59,mamaka_kuta_social_club,lp7uXvU0oK,10.111.59.169,0E:63:C7:16:BB:70,http-chap,7m59s,2d23h52m1s,0s,5294503,37736986,27776,38872
60,mamaka_kuta_social_club,qGp48pBwor,10.111.58.171,6E:5A:FA:99:0A:EC,http-chap,31m23s,2d23h28m37s,0s,21168225,437109187,209733,346874
61,mamaka_kuta_social_club,PfbFMTFNv7,10.111.59.171,36:C8:9D:A5:BA:23,http-chap,6m58s,2d23h53m2s,2m3s,174195,969233,1161,1198
62,mamaka_kuta_social_club,kIH4LVzdZI,10.111.57.172,DE:5E:25:16:1D:EA,http-chap,7h35m59s,2d16h24m1s,5s,30379216,410157599,248464,417187
63,mamaka_kuta_social_club,wuSZ9b2npZ,10.111.58.173,AE:81:E8:01:02:C6,http-chap,29m14s,2d23h30m46s,0s,49281977,135029906,82482,120018
64,mamaka_kuta_social_club,7GCvba2WsF,10.111.52.175,5A:DD:37:11:EC:63,http-chap,24m51s,2d23h35m9s,0s,6947830,131421067,53677,111731
65,mamaka_kuta_social_club,0pQLhHAyhO,10.111.58.176,CE:CB:DB:63:59:8A,http-chap,1h5m4s,2d22h54m56s,1m25s,66839158,500022885,207888,400401
66,mamaka_kuta_social_club,Xy0ObBvQLe,10.111.58.177,C2:21:04:D6:23:78,http-chap,1h40s,2d22h59m20s,0s,11136392,170907940,78013,143546
67,mamaka_kuta_social_club,JWKMcauH7a,10.111.59.179,EA:A8:53:5D:26:88,http-chap,4m50s,2d23h55m10s,29s,797000,9246721,5668,8079
68,mamaka_kuta_social_club,Ob3Db6choN,10.111.58.181,7E:D4:7C:F8:3D:BD,http-chap,37m30s,2d23h22m30s,0s,9759524,502894424,74732,404995
69,mamaka_kuta_social_club,V6FNyw5B8z,10.111.42.182,6E:2D:C0:70:BD:50,http-chap,3m33s,2d23h56m27s,0s,1926050,25911725,7077,24518
70,mamaka_kuta_social_club,uEisvTdoZH,10.111.56.182,06:FA:8B:2E:C9:D4,http-chap,1h24m52s,2d22h35m8s,0s,76025662,216231414,169578,232264
71,mamaka_kuta_social_club,TFfcsOXdKj,10.111.55.189,B2:52:F2:8F:DF:8F,http-chap,1h24m49s,2d22h35m11s,0s,30820849,70299662,51037,71684
72,mamaka_kuta_social_club,4nbsHYeJNQ,10.111.58.192,C6:74:70:67:56:85,http-chap,3h18m11s,2d20h41m49s,1m42s,6076921,67144735,37746,71865
73,mamaka_kuta_social_club,TLn5yJdDGd,10.111.58.197,D6:D7:98:81:6A:3F,http-chap,3h28m13s,2d20h31m47s,0s,11869485,105220126,57551,96902
74,mamaka_kuta_social_club,l2UvLu0HxD,10.111.56.204,72:5B:B1:32:6F:8E,http-chap,22m23s,2d23h37m37s,0s,7518686,212086097,134835,160809
75,mamaka_kuta_social_club,DVIXPeo2Eo,10.111.36.210,3A:38:AE:60:36:70,http-chap,23h31m10s,2d28m50s,0s,54541364,1070835251,520425,806697
76,mamaka_kuta_social_club,sgBqNjBolM,10.111.57.213,F6:FC:60:91:96:93,http-chap,6h47m52s,2d17h12m8s,1s,18450493,287552835,164748,239677
77,mamaka_kuta_social_club,QfqejONrYQ,10.111.58.219,8E:63:45:A3:A9:48,http-chap,35s,2d23h59m25s,1s,758003,15986735,4064,13779
78,mamaka_kuta_social_club,xZtGPUp8mO,10.111.43.240,66:5A:F0:BF:16:6F,http-chap,27m42s,2d23h32m18s,55s,10768792,444082199,152482,299536
79,mamaka_kuta_social_club,UO2UTTkBN8,10.111.58.242,D6:07:49:EB:96:68,http-chap,4m17s,2d23h55m43s,0s,1082505,15470282,4642,13786
80,mamaka_kuta_social_club,QYvX2GBtYF,10.111.35.245,CA:FC:05:88:2D:69,http-chap,43m56s,2d23h16m4s,2m38s,200258,419563,777,739
81,mamaka_kuta_social_club,zxfZcxglyZ,10.111.58.248,DE:50:B4:4E:51:70,http-chap,48m50s,2d23h11m10s,0s,262144105,202530482,227437,225306
